node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
63,73,99.902684,CLUSTER_HEAD,2,96.29166955606883
64,73,99.902684,CLUSTER_HEAD,2,96.29166955606883
70,81,84.938966,ROOT,0,96.00008493896597
70,71,75.774148,REGISTERED,1,96.29128591539398
70,80,81.166995,ROUTER,1,96.29137492295894
71,81,84.938966,ROOT,0,96.00008493896597
71,82,99.902684,ROUTER,1,96.29129618956993
71,72,81.159501,ROUTER,1,96.29137489298151
72,81,84.938966,ROOT,0,96.00008493896597
72,82,99.902684,ROUTER,1,96.29129618956993
72,73,99.902684,CLUSTER_HEAD,2,96.29166955606883
73,82,99.902684,ROUTER,1,96.29129618956993
74,73,99.902684,CLUSTER_HEAD,2,96.29166955606883
80,81,84.938966,ROOT,0,96.00008493896597
80,90,72.225217,CLUSTER_HEAD,2,96.2917449908231
81,82,99.902684,ROUTER,1,96.29129618956993
82,92,98.847743,CLUSTER_HEAD,2,96.29168903246138
83,73,99.902684,CLUSTER_HEAD,2,96.29166955606883
91,92,98.847743,CLUSTER_HEAD,2,96.29168903246138
91,90,72.225217,CLUSTER_HEAD,2,96.2917449908231
93,92,98.847743,CLUSTER_HEAD,2,96.29168903246138
