node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.000000,43.959738,147.099275,200.723074,303.301008,364.246157,458.420613,506.410970,575.532576,659.972543,72.982203,129.974347,195.282070,216.670303,341.359856,387.266722,449.073315,545.623855,609.363612,677.658316,190.721688,184.664895,252.333536,289.036188,345.065267,433.704900,491.155371,560.642967,651.944112,715.939994,228.929778,263.039780,286.754095,364.429227,420.147344,446.507921,521.187306,615.983571,658.895743,719.218073,302.696465,354.417225,341.206165,409.391576,442.360924,537.179780,564.233178,625.036496,730.381987,781.569365,403.437903,402.664031,410.332043,451.401334,481.878866,557.650696,629.691665,673.232888,724.238644,800.186125,447.163701,460.996456,480.765911,513.292052,582.762320,626.791491,661.701420,731.813644,804.199958,823.197749,565.763546,566.674650,583.888801,584.833929,618.752849,696.182496,716.884058,756.593960,855.365182,888.139447,627.364054,619.103742,634.070310,681.372228,690.596505,734.006214,776.279304,828.644803,893.706174,966.745004,697.228424,722.651991,731.578999,731.784970,796.075710,825.791886,862.389916,904.958502,960.541720,1010.352100
1,43.959738,0.000000,103.211904,157.023353,259.364635,320.371445,414.472934,462.566746,531.615807,616.174022,84.836700,114.144021,156.426081,174.900900,298.531289,344.239284,405.667691,501.835824,565.409885,633.706060,187.452888,162.680005,221.006118,249.661065,306.109160,392.608433,448.228174,517.905567,608.473636,672.391973,229.778484,248.245084,262.223736,332.388996,383.867562,407.508591,479.786038,574.777113,616.315903,676.656151,295.388344,339.855486,318.520924,382.043485,410.308770,500.548679,525.109663,584.802905,689.747454,740.086406,398.869960,390.665071,389.009967,423.649086,451.873956,524.313619,593.223326,635.679913,685.250328,759.892670,440.793241,447.149578,462.857208,489.883922,556.192207,596.602234,628.461324,696.370265,766.201790,784.465688,558.346697,553.743692,566.504972,563.631740,592.415224,665.734025,684.112225,722.366666,818.766482,851.267331,620.562797,606.724636,618.542665,659.257718,665.138909,705.648201,745.638065,795.992454,859.494003,931.028765,689.069822,711.975513,716.861589,712.227635,773.067150,800.715635,834.528629,872.740082,927.188193,974.947025
2,147.099275,103.211904,0.000000,59.066788,157.072427,218.537669,311.856384,360.734855,429.242206,514.488423,160.397207,132.563090,80.525698,81.249161,197.710392,242.687713,303.129849,398.660341,462.364406,530.644809,211.601480,147.133932,164.172671,161.673438,217.567085,296.154082,346.702855,416.716027,505.721885,569.503295,256.248252,236.001449,221.783127,264.576517,301.669077,316.932504,382.003835,477.164396,515.363246,575.685542,296.713360,319.968844,278.557432,325.677235,339.702161,415.496103,433.108434,489.605742,593.240706,641.477644,400.076628,374.320712,348.788180,364.670608,385.908900,447.901900,507.746644,547.107667,592.812700,664.053300,435.920464,423.772188,428.659390,440.642831,497.228898,527.562091,551.114617,612.840574,675.937757,692.343582,547.336346,529.446152,530.850621,518.381117,533.448121,595.238540,607.492951,641.766953,731.769965,763.489109,609.663293,582.617017,586.462825,610.058597,607.403151,640.093441,673.954141,718.916395,778.225457,845.818312,673.707631,690.203423,685.197867,668.701554,720.277031,742.529555,769.156381,796.336775,847.755034,890.361188
3,200.723074,157.023353,59.066788,0.000000,103.863848,163.843206,258.670912,305.808192,375.253538,459.275464,219.431404,187.497039,103.329320,80.344636,162.018582,203.259553,259.148479,350.048455,410.515834,478.784124,263.599313,191.450717,184.819655,152.469369,202.700688,266.296755,305.552757,375.760300,459.487296,522.442092,307.386051,274.890955,247.556149,268.371658,290.166740,295.108876,348.244348,442.635757,474.315113,534.312321,338.534859,351.814773,301.295005,335.654150,337.952915,397.933850,407.103750,458.626178,559.582729,604.293932,439.287020,406.291051,368.609176,371.435435,386.676985,438.329141,488.344329,523.888659,564.635558,630.971114,471.879533,451.075698,449.925822,452.331035,501.057661,523.113171,539.177242,594.368520,649.810488,663.934702,578.832528,554.444204,549.452133,531.271668,536.716040,588.756158,595.608550,625.904343,708.911268,739.633722,640.524587,607.033765,606.407970,619.156223,610.625944,637.117582,665.732356,705.705640,760.805697,824.235412,701.768279,714.798070,704.364612,680.869024,725.892876,744.184880,765.272488,783.233914,831.676820,869.215732
4,303.301008,259.364635,157.072427,103.863848,0.000000,61.660860,155.147418,203.688428,272.280432,357.447500,313.412901,266.374202,155.067758,118.001654,86.643070,113.777219,160.333957,246.787364,306.702946,374.988932,331.570398,250.660289,207.597383,134.566568,159.827759,187.753978,208.924371,278.223147,357.141138,419.544805,371.392224,316.344604,268.650968,248.709694,241.183467,227.905621,259.956909,351.433094,375.822970,435.211247,381.476326,374.876533,311.496019,320.399365,301.991240,332.135906,328.093336,371.617571,468.091097,508.722415,472.691387,426.758430,368.617880,348.064225,351.976199,383.839396,416.956719,446.254528,479.745119,539.582960,497.626784,460.794753,448.473809,433.526722,466.762436,474.290256,477.991636,522.344802,566.652933,577.792310,592.771645,556.464556,539.748995,511.820577,500.390317,535.098518,533.372025,557.207498,629.477514,658.641898,651.907225,606.672276,597.730878,590.813860,572.423170,588.160733,607.984981,639.857685,688.322230,745.605557,706.569822,712.726132,692.339196,656.682288,689.663788,701.089255,712.971632,716.715567,760.481411,790.878121
5,364.246157,320.371445,218.537669,163.843206,61.660860,0.000000,95.320285,142.242721,211.410823,295.968981,374.955634,326.151376,212.717574,175.843251,97.869167,97.409454,119.739125,192.254177,247.600795,315.687861,388.322134,306.531016,254.411392,172.760819,179.778380,173.528488,169.280535,234.704564,304.106808,364.935306,426.630949,365.371315,311.717925,273.737273,248.106881,221.169854,229.496981,314.730756,329.266558,387.220551,429.710089,415.401868,348.266067,344.082881,314.136279,320.916109,305.047161,339.213468,429.317150,464.855130,515.807417,465.049248,398.626381,366.017680,362.795650,379.827757,398.484763,421.646171,447.734677,500.254496,537.112063,493.429233,475.732082,451.587451,474.588273,472.149196,466.605021,501.455769,535.342501,543.521918,625.559851,583.687331,560.907170,527.874621,506.221368,528.386671,520.238083,538.608145,601.003072,628.546192,682.813969,631.996901,618.642234,600.260514,575.831226,584.039806,597.261893,622.598497,665.299136,717.008323,733.604111,736.042513,710.307181,667.866403,692.940259,699.715582,705.119721,698.248311,737.986284,762.274544
6,458.420613,414.472934,311.856384,258.670912,155.147418,95.320285,0.000000,53.068680,117.571770,204.279684,465.106232,410.966295,295.512414,260.131980,149.257180,115.589206,79.073816,102.314762,152.287294,220.374648,466.168789,384.104355,320.084144,234.181966,218.350816,164.481997,113.518603,162.288902,213.817405,272.367322,501.129367,430.380041,369.416484,308.070962,258.930398,214.834352,181.706523,249.231644,247.563337,302.396629,491.999215,465.711676,395.158291,371.841033,326.656493,296.826987,262.869673,279.584736,356.883729,384.575714,568.058186,510.566167,433.370777,384.061468,370.233551,363.489047,358.501064,371.122534,385.023905,425.795541,583.045402,529.346229,503.729751,466.168052,472.619980,454.852061,435.157554,454.350071,471.887276,475.640542,659.144809,609.097361,577.246962,537.059829,500.181583,502.358482,484.541490,494.120137,540.674400,565.515110,712.516757,653.519207,633.422932,597.495669,564.248978,560.677996,563.530442,578.528962,612.056295,655.155741,756.381979,752.823274,718.952115,666.542162,678.955519,678.485150,673.950502,651.285537,684.669047,700.008707
7,506.410970,462.566746,360.734855,305.808192,203.688428,142.242721,53.068680,0.000000,70.619341,153.759080,515.934480,463.228367,347.920366,312.216485,202.147619,166.577557,119.496810,89.912477,113.310379,178.688654,519.178075,437.090521,372.956077,287.039107,268.966501,205.803343,138.351154,166.390358,190.198971,242.171634,554.196304,483.034226,421.464378,356.608217,302.392095,254.267481,203.497723,253.621316,235.556707,284.588176,544.298597,516.327494,445.468365,418.087957,369.160425,325.649777,283.229700,287.397163,351.448718,370.569067,618.728879,560.094237,480.853111,427.419496,410.332261,394.217407,377.035864,382.683835,387.355816,417.121267,632.423513,576.570171,548.958446,507.534276,507.806731,483.555297,456.982271,466.552168,472.111251,472.175546,705.221757,652.979498,618.358412,575.924235,533.370577,526.095368,503.235929,507.403907,542.455741,564.952519,757.292768,695.958548,673.667489,631.190420,594.357565,585.135401,582.390760,591.083608,618.248042,654.724418,798.831030,793.233707,756.506892,700.374632,707.057953,703.043613,693.277958,661.342172,690.224608,698.942644
8,575.532576,531.615807,429.242206,375.253538,272.280432,211.410823,117.571770,70.619341,0.000000,88.012143,582.518001,527.050279,411.495690,376.738838,259.860055,218.834290,160.120707,77.297305,48.387956,108.853841,579.071539,497.463583,428.664303,343.345938,317.137552,238.808343,157.057583,153.350782,137.417667,179.808209,612.064957,536.594985,472.378771,397.962358,334.692274,281.592794,209.146187,231.759425,193.917713,233.763623,595.645472,561.529926,490.311534,453.401106,398.001812,333.629080,281.034469,268.021809,312.786716,321.626852,663.524995,601.844189,518.131299,456.773272,434.001821,402.938180,368.510209,364.527030,357.178509,373.166600,673.334403,612.406192,580.600371,531.986400,521.439369,487.291155,451.091681,447.248129,437.557061,433.249041,737.606166,680.979212,641.183825,595.032014,543.372080,521.740126,492.075157,488.808428,508.748160,528.184663,786.544712,720.763012,694.423780,640.891424,598.697403,581.025771,570.311423,570.354900,589.071338,617.244508,823.064311,813.540037,771.806079,709.697095,707.193718,697.879875,680.688991,636.627375,659.607539,660.391510
9,659.972543,616.174022,514.488423,459.275464,357.447500,295.968981,204.279684,153.759080,88.012143,0.000000,669.277718,614.775070,499.223679,464.225869,347.840976,306.383463,246.173768,152.188964,80.473122,69.543602,667.059575,585.473712,516.239838,431.116934,403.248454,320.399468,235.761862,212.345382,148.799266,158.073715,699.852591,623.569555,558.723815,481.041797,414.108372,359.415136,276.755130,273.087810,213.740881,232.547287,681.889345,645.503056,574.386618,533.080708,474.584545,397.173168,338.288827,309.229304,325.995701,317.081622,747.030636,684.066099,598.418789,532.969570,506.821037,465.203041,416.100803,401.967903,380.107883,374.780947,754.885983,691.375382,657.204981,604.209251,585.629572,543.528955,498.904149,480.542732,451.283238,440.614445,813.884980,754.579018,711.323132,662.735639,604.247624,569.610490,533.440619,521.850467,521.694451,536.212768,860.511425,791.858369,762.621391,700.378231,653.808296,628.162578,609.150398,599.117226,606.627833,622.474748,893.223524,880.688110,835.076811,768.217016,757.060169,742.435614,717.354710,659.275895,674.049931,663.325953
