node_id,node_role,child_count,children
11,CLUSTER_HEAD,1,0(REGISTERED)[0]
13,CLUSTER_HEAD,2,2(REGISTERED)[2];4(CLUSTER_HEAD)[4]
18,CLUSTER_HEAD,2,8(ROUTER)[8];7(CLUSTER_HEAD)[7]
22,CLUSTER_HEAD,2,21(ROUTER)[21];11(CLUSTER_HEAD)[11]
24,CLUSTER_HEAD,3,25(ROUTER)[25];26(CLUSTER_HEAD)[26];13(CLUSTER_HEAD)[13]
26,CLUSTER_HEAD,2,5(REGISTERED)[5];6(REGISTERED)[6]
29,CLUSTER_HEAD,1,18(CLUSTER_HEAD)[18]
33,CLUSTER_HEAD,2,24(CLUSTER_HEAD)[24];22(CLUSTER_HEAD)[22]
37,CLUSTER_HEAD,2,35(REGISTERED)[35];26(CLUSTER_HEAD)[26]
40,CLUSTER_HEAD,1,31(CLUSTER_HEAD)[31]
42,CLUSTER_HEAD,3,33(CLUSTER_HEAD)[33];61(CLUSTER_HEAD)[61];40(CLUSTER_HEAD)[40]
44,CLUSTER_HEAD,1,42(CLUSTER_HEAD)[42]
48,CLUSTER_HEAD,3,37(CLUSTER_HEAD)[37];58(REGISTERED)[58];29(CLUSTER_HEAD)[29]
56,CLUSTER_HEAD,4,46(REGISTERED)[46];77(CLUSTER_HEAD)[77];47(ROUTER)[47];48(CLUSTER_HEAD)[48]
61,CLUSTER_HEAD,2,53(CLUSTER_HEAD)[53];70(CLUSTER_HEAD)[70]
64,CLUSTER_HEAD,4,54(ROUTER)[54];56(CLUSTER_HEAD)[56];44(CLUSTER_HEAD)[44];53(CLUSTER_HEAD)[53]
70,CLUSTER_HEAD,2,80(ROUTER)[80];90(CLUSTER_HEAD)[90]
73,CLUSTER_HEAD,2,93(CLUSTER_HEAD)[93];71(ROUTER)[71]
75,ROOT,3,73(CLUSTER_HEAD)[73];64(CLUSTER_HEAD)[64];94(CLUSTER_HEAD)[94]
77,CLUSTER_HEAD,5,76(ROUTER)[76];86(CLUSTER_HEAD)[86];68(CLUSTER_HEAD)[68];87(ROUTER)[87];97(CLUSTER_HEAD)[97]
93,CLUSTER_HEAD,2,82(ROUTER)[82];91(CLUSTER_HEAD)[91]
94,CLUSTER_HEAD,1,96(CLUSTER_HEAD)[96]
97,CLUSTER_HEAD,1,89(CLUSTER_HEAD)[89]
