node_id,final_role,initial_energy,remaining_energy,total_consumed,energy_tx,energy_rx,energy_idle,energy_sleep,time_tx,time_rx,time_idle,time_sleep,packets_sent,packets_received,packets_lost,bytes_sent,bytes_received,is_alive,death_time
0,REGISTERED,10000,7123.983439168889,2876.016560831111,1470.5,1405.5,0.016185625109020337,0.000375206062939869,0.05882000000000019,0.11244000000000062,1618.562510902037,375.2060629398693,237,448,22,14705,28110,True,
1,REGISTERED,10000,6358.733254445344,3641.266745554656,1453.0,2188.25,0.01639087360275187,0.00035468112894819037,0.058120000000000185,0.1750600000000009,1639.0873602751917,354.6811289481895,233,696,26,14530,43765,True,
2,REGISTERED,10000,5066.732950006894,4933.267049993106,1490.0,3443.25,0.01672928090091419,0.000320712328110715,0.059600000000000215,0.27546000000000165,1672.9280900914212,320.71232811071496,236,1067,13,14900,68865,True,
3,ROUTER,10000,5989.4831692937905,4010.5168307062095,2043.0,1967.5,0.01648562855186336,0.0003450776333724473,0.0817200000000004,0.15740000000000082,1648.562855186319,345.0776333724482,315,628,42,20430,39350,True,
4,CLUSTER_HEAD,10000,6428.732997901147,3571.2670020988526,1255.5,2315.75,0.016676065042332607,0.00032603392980122493,0.05022000000000022,0.1852600000000009,1667.6065042332636,326.0339298012242,212,736,21,12555,46315,True,
5,REGISTERED,10000,7162.233224453343,2837.7667755466573,1212.0,1625.75,0.01642456628455456,0.0003509804137089834,0.0484800000000002,0.13006000000000065,1642.4566284554592,350.980413708984,206,517,27,12120,32515,True,
6,REGISTERED,10000,6873.733260399933,3126.266739600067,1381.5,1744.75,0.016385631952673587,0.00035396825894458395,0.05526000000000017,0.13958000000000084,1638.5631952673625,353.9682589445833,220,545,34,13815,34895,True,
7,CLUSTER_HEAD,10000,5427.233259399607,4572.766740600393,1458.0,3114.75,0.016385631964596213,0.0003549683401127727,0.0583200000000002,0.24918000000000137,1638.5631964596255,354.9683401127743,233,977,23,14580,62295,True,
8,ROUTER,10000,5386.983124293899,4613.016875706101,1439.5,3173.5,0.01653562696218179,0.00034007911628326884,0.057580000000000194,0.25388000000000144,1653.5626962181755,340.07911628326974,228,995,30,14395,63470,True,
9,REGISTERED,10000,5772.482719387902,4227.517280612098,2070.5,2157.0,0.016985630419689215,0.00029498179147988384,0.08282000000000041,0.17256000000000096,1698.5630419689262,294.98179147988316,318,679,31,20705,43140,True,
10,CLUSTER_HEAD,10000,6412.73294416829,3587.2670558317104,1424.5,2162.75,0.016735625860030343,0.00032020590976434573,0.056980000000000176,0.17302000000000092,1673.5625860030293,320.20590976434585,227,685,28,14245,43255,True,
11,CLUSTER_HEAD,10000,5388.98295109772,4611.01704890228,1471.0,3140.0,0.01672928092967166,0.000319621270464544,0.0588400000000002,0.2512000000000014,1672.9280929671554,319.6212704645437,233,981,24,14710,62800,True,
12,REGISTERED,10000,3662.9824050025104,6337.017594997489,2060.0,4277.0,0.01733563275812918,0.00025936491078458907,0.0824000000000004,0.34216000000000246,1733.5632758129173,259.36491078458874,313,1338,34,20600,85540,True,
13,CLUSTER_HEAD,10000,4247.482405002155,5752.517594997845,1453.0,4299.5,0.01733563278777764,0.0002593649256310163,0.05812000000000019,0.3439600000000021,1733.5632787777643,259.36492563101626,228,1336,22,14530,85990,True,
14,ROUTER,10000,6319.982592932098,3680.0174070679022,1631.0,2049.0,0.017126067678487098,0.0002810001780717776,0.06524000000000026,0.16392000000000076,1712.606767848703,281.0001780717779,261,655,26,16310,40980,True,
15,REGISTERED,10000,4745.982955167345,5254.017044832655,2249.0,3005.0,0.016724568925562656,0.00032026371542695156,0.08996000000000047,0.2404000000000012,1672.456892556272,320.2637154269522,351,951,37,22490,60100,True,
16,REGISTERED,10000,4020.232989397341,5979.767010602659,2064.0,3915.75,0.016685634542440608,0.00032496801736650127,0.08256000000000041,0.31326000000000204,1668.5634542440623,324.9680173665015,318,1233,35,20640,78315,True,
