node_id,node_role,member_count,members
4,CLUSTER_HEAD,1,5(REGISTERED)
7,CLUSTER_HEAD,1,6(REGISTERED)
10,CLUSTER_HEAD,1,0(REGISTERED)
11,CLUSTER_HEAD,2,10(CLUSTER_HEAD);1(REGISTERED)
13,CLUSTER_HEAD,2,2(REGISTERED);3(ROUTER)
18,CLUSTER_HEAD,3,9(REGISTERED);17(REGISTERED);8(ROUTER)
22,CLUSTER_HEAD,2,12(REGISTERED);21(ROUTER)
24,CLUSTER_HEAD,3,35(REGISTERED);25(ROUTER);14(ROUTER)
26,CLUSTER_HEAD,3,27(REGISTERED);15(REGISTERED);16(REGISTERED)
29,CLUSTER_HEAD,3,39(REGISTERED);19(ROUTER);28(ROUTER)
31,CLUSTER_HEAD,1,20(REGISTERED)
33,CLUSTER_HEAD,2,34(ROUTER);23(ROUTER)
37,CLUSTER_HEAD,1,36(REGISTERED)
40,CLUSTER_HEAD,1,30(ROUTER)
42,CLUSTER_HEAD,4,32(ROUTER);52(ROUTER);51(REGISTERED);41(ROUTER)
44,CLUSTER_HEAD,1,43(ROUTER)
48,CLUSTER_HEAD,4,47(ROUTER);38(ROUTER);49(REGISTERED);58(REGISTERED)
56,CLUSTER_HEAD,4,66(ROUTER);45(REGISTERED);57(ROUTER);46(REGISTERED)
61,CLUSTER_HEAD,4,62(REGISTERED);71(ROUTER);50(REGISTERED);60(REGISTERED)
64,CLUSTER_HEAD,3,55(ROUTER);63(ROUTER);54(ROUTER)
68,CLUSTER_HEAD,2,69(REGISTERED);59(REGISTERED)
70,CLUSTER_HEAD,2,81(REGISTERED);80(ROUTER)
73,CLUSTER_HEAD,2,83(ROUTER);72(REGISTERED)
75,ROOT,4,85(ROUTER);74(ROUTER);65(ROUTER);84(ROUTER)
77,CLUSTER_HEAD,5,67(REGISTERED);76(ROUTER);78(ROUTER);87(ROUTER);88(REGISTERED)
89,CLUSTER_HEAD,2,79(REGISTERED);99(REGISTERED)
93,CLUSTER_HEAD,2,92(REGISTERED);82(ROUTER)
94,CLUSTER_HEAD,1,95(ROUTER)
97,CLUSTER_HEAD,1,98(ROUTER)
