timestamp,source_id,source_role,dest,dest_id,message_type,details
6.0,6,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.0,99,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.0,66,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.0,46,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.2,8,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.2,16,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.2,52,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.2,61,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.3,64,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.3,39,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.3,97,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.3,13,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.4,71,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.4,80,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.4,34,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.4,93,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.5,41,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.5,3,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.5,32,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.6,18,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.6,28,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.6,59,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.7,89,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.7,73,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.8,31,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.8,96,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.8,75,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.8,33,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.9,42,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.9,7,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.9,45,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.9,90,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.9,95,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
6.9,72,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
7.0,57,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
7.0,65,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
7.0,30,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
7.0,6,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
7.0,99,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
7.0,66,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
7.0,9,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
7.0,46,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
7.0,92,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
7.0,19,UNDISCOVERED,BROADCAST,,PROBE,Looking for network
