node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
2,13,81.249161,REGISTERED,11,577.2957818909947
2,12,96.287395,REGISTERED,11,577.2958363855847
3,13,81.249161,REGISTERED,11,577.2957818909947
4,14,97.869167,REGISTERED,10,580.2941358410316
5,14,97.869167,REGISTERED,10,580.2941358410316
11,21,96.287395,REGISTERED,12,577.2960629868551
11,20,89.120039,REGISTERED,14,585.2938296669099
12,23,93.762759,CLUSTER_HEAD,10,577.2955525726722
12,13,81.249161,REGISTERED,11,577.2957818909947
12,22,85.917443,ROUTER,11,577.2958024796849
12,21,96.287395,REGISTERED,12,577.2960629868551
13,23,93.762759,CLUSTER_HEAD,10,577.2955525726722
14,24,97.802254,ROUTER,9,585.2938900082505
14,23,93.762759,CLUSTER_HEAD,10,577.2955525726722
15,25,97.802254,REGISTERED,9,580.2941569856135
15,14,97.869167,REGISTERED,10,580.2941358410316
16,25,97.802254,REGISTERED,9,580.2941569856135
20,31,94.119724,ROUTER,13,585.2935673064786
20,21,96.287395,REGISTERED,12,577.2960629868551
20,30,91.203166,REGISTERED,15,585.293826059194
21,22,85.917443,ROUTER,11,577.2958024796849
21,31,94.119724,ROUTER,13,585.2935673064786
22,23,93.762759,CLUSTER_HEAD,10,577.2955525726722
22,32,68.340907,CLUSTER_HEAD,12,582.295273982771
23,24,97.802254,ROUTER,9,585.2938900082505
24,33,94.504015,REGISTERED,7,585.2936174090298
24,34,96.958446,CLUSTER_HEAD,8,580.2938652664672
24,25,97.802254,REGISTERED,9,580.2941569856135
25,34,96.958446,CLUSTER_HEAD,8,580.2938652664672
25,35,96.881496,REGISTERED,9,580.2940324096303
26,25,97.802254,REGISTERED,9,580.2941569856135
30,31,94.119724,ROUTER,13,585.2935673064786
30,40,85.233054,CLUSTER_HEAD,14,582.2955709623113
31,42,94.504015,REGISTERED,6,580.2933368892316
31,41,91.731452,REGISTERED,6,580.2933665206909
31,32,68.340907,CLUSTER_HEAD,12,582.295273982771
31,40,85.233054,CLUSTER_HEAD,14,582.2955709623113
32,42,94.504015,REGISTERED,6,580.2933368892316
33,43,80.754905,CLUSTER_HEAD,6,585.293388590756
33,44,77.985438,ROUTER,7,578.2924976090316
33,42,94.504015,REGISTERED,6,580.2933368892316
33,34,96.958446,CLUSTER_HEAD,8,580.2938652664672
34,44,77.985438,ROUTER,7,578.2924976090316
34,35,96.881496,REGISTERED,9,580.2940324096303
36,35,96.881496,REGISTERED,9,580.2940324096303
36,25,97.802254,REGISTERED,9,580.2941569856135
40,41,91.731452,REGISTERED,6,580.2933665206909
41,52,96.026425,ROUTER,5,580.2931251050645
41,51,97.397650,REGISTERED,5,580.2931743131278
41,42,94.504015,REGISTERED,6,580.2933368892316
42,52,96.026425,ROUTER,5,580.2931251050645
42,43,80.754905,CLUSTER_HEAD,6,585.293388590756
43,53,85.755569,REGISTERED,4,583.2923123642078
43,54,97.995027,REGISTERED,4,583.292361322038
43,52,96.026425,ROUTER,5,580.2931251050645
43,44,77.985438,ROUTER,7,578.2924976090316
44,53,85.755569,REGISTERED,4,583.2923123642078
44,54,97.995027,REGISTERED,4,583.292361322038
50,51,97.397650,REGISTERED,5,580.2931743131278
51,62,97.397650,CLUSTER_HEAD,4,580.2928821201772
51,61,96.026425,REGISTERED,5,580.2930282957866
51,52,96.026425,ROUTER,5,580.2931251050645
52,62,97.397650,CLUSTER_HEAD,4,580.2928821201772
52,53,85.755569,REGISTERED,4,583.2923123642078
52,61,96.026425,REGISTERED,5,580.2930282957866
53,63,97.995027,ROUTER,3,578.292067336957
53,54,97.995027,REGISTERED,4,583.292361322038
54,63,97.995027,ROUTER,3,578.292067336957
55,54,97.995027,REGISTERED,4,583.292361322038
60,61,96.026425,REGISTERED,5,580.2930282957866
60,51,97.397650,REGISTERED,5,580.2931743131278
61,62,97.397650,CLUSTER_HEAD,4,580.2928821201772
62,63,97.995027,ROUTER,3,578.292067336957
63,73,99.902684,CLUSTER_HEAD,2,578.2918318750707
63,64,83.389709,REGISTERED,3,578.2920655312213
64,73,99.902684,CLUSTER_HEAD,2,578.2918318750707
64,74,97.876730,REGISTERED,3,578.2920931192866
65,64,83.389709,REGISTERED,3,578.2920655312213
65,74,97.876730,REGISTERED,3,578.2920931192866
70,81,84.938966,ROOT,0,576.000084938966
70,71,75.774148,REGISTERED,1,576.2912859153939
70,80,81.166995,REGISTERED,1,576.2913749229588
71,81,84.938966,ROOT,0,576.000084938966
71,82,99.902684,REGISTERED,1,576.29129618957
71,72,81.159501,ROUTER,1,576.2913748929814
72,81,84.938966,ROOT,0,576.000084938966
72,82,99.902684,REGISTERED,1,576.29129618957
72,73,99.902684,CLUSTER_HEAD,2,578.2918318750707
73,82,99.902684,REGISTERED,1,576.29129618957
73,74,97.876730,REGISTERED,3,578.2920931192866
73,83,97.876730,REGISTERED,3,578.292121627991
74,83,97.876730,REGISTERED,3,578.292121627991
80,81,84.938966,ROOT,0,576.000084938966
81,82,99.902684,REGISTERED,1,576.29129618957
84,74,97.876730,REGISTERED,3,578.2920931192866
84,83,97.876730,REGISTERED,3,578.292121627991
90,80,81.166995,REGISTERED,1,576.2913749229588
92,82,99.902684,REGISTERED,1,576.29129618957
93,83,97.876730,REGISTERED,3,578.292121627991
