node_id,node_role,neighbor_count,neighbors
4,UNREGISTERED,1,"5(REGISTERED,1,98.3)"
5,REGISTERED,3,"6(ROOT,0,97.6);16(ROUTER,1,96.4);15(REGISTERED,1,90.4)"
6,ROOT,5,"5(REGISTERED,1,98.3);16(ROUTER,1,96.4);7(REGISTERED,1,91.0);15(REGISTERED,1,90.4);17(REGISTERED,1,97.6)"
7,REGISTERED,4,"6(ROOT,0,97.6);16(ROUTER,1,96.4);17(REGISTERED,1,97.6);8(CLUSTER_HEAD,6,93.6)"
8,CLUSTER_HEAD,4,"7(REGISTERED,1,91.0);17(REGISTERED,1,97.6);18(ROUTER,5,93.6);9(REGISTERED,6,82.7)"
9,REGISTERED,3,"18(ROUTER,5,93.6);8(CLUSTER_HEAD,6,93.6);19(REGISTERED,6,79.1)"
14,UNREGISTERED,2,"5(REGISTERED,1,98.3);15(REGISTERED,1,90.4)"
15,REGISTERED,5,"6(ROOT,0,97.6);5(REGISTERED,1,98.3);16(ROUTER,1,96.4);26(CLUSTER_HEAD,2,91.5);25(REGISTERED,3,96.2)"
16,ROUTER,7,"6(ROOT,0,97.6);5(REGISTERED,1,98.3);15(REGISTERED,1,90.4);7(REGISTERED,1,91.0);17(REGISTERED,1,97.6);26(CLUSTER_HEAD,2,91.5);27(ROUTER,3,96.4)"
17,REGISTERED,6,"6(ROOT,0,97.6);16(ROUTER,1,96.4);7(REGISTERED,1,91.0);26(CLUSTER_HEAD,2,91.5);27(ROUTER,3,96.4);8(CLUSTER_HEAD,6,93.6)"
18,ROUTER,5,"28(CLUSTER_HEAD,4,77.9);29(REGISTERED,5,93.6);8(CLUSTER_HEAD,6,93.6);19(REGISTERED,6,79.1);9(REGISTERED,6,82.7)"
19,REGISTERED,3,"18(ROUTER,5,93.6);29(REGISTERED,5,93.6);9(REGISTERED,6,82.7)"
24,UNREGISTERED,1,"25(REGISTERED,3,96.2)"
25,REGISTERED,2,"15(REGISTERED,1,90.4);26(CLUSTER_HEAD,2,91.5)"
26,CLUSTER_HEAD,5,"16(ROUTER,1,96.4);15(REGISTERED,1,90.4);17(REGISTERED,1,97.6);27(ROUTER,3,96.4);25(REGISTERED,3,96.2)"
27,ROUTER,4,"16(ROUTER,1,96.4);17(REGISTERED,1,97.6);26(CLUSTER_HEAD,2,91.5);28(CLUSTER_HEAD,4,77.9)"
28,CLUSTER_HEAD,4,"27(ROUTER,3,96.4);18(ROUTER,5,93.6);29(REGISTERED,5,93.6);38(REGISTERED,5,89.6)"
29,REGISTERED,4,"28(CLUSTER_HEAD,4,77.9);18(ROUTER,5,93.6);38(REGISTERED,5,89.6);19(REGISTERED,6,79.1)"
35,UNREGISTERED,1,"25(REGISTERED,3,96.2)"
36,UNREGISTERED,1,"25(REGISTERED,3,96.2)"
37,UNREGISTERED,1,"38(REGISTERED,5,89.6)"
38,REGISTERED,2,"28(CLUSTER_HEAD,4,77.9);29(REGISTERED,5,93.6)"
39,UNREGISTERED,2,"29(REGISTERED,5,93.6);38(REGISTERED,5,89.6)"
47,UNREGISTERED,1,"38(REGISTERED,5,89.6)"
48,UNREGISTERED,1,"38(REGISTERED,5,89.6)"
