node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.000000,114.921865,180.388443,236.252520,327.895909,412.454556,470.418990,556.462323,600.982818,683.557394,89.900937,142.951587,184.710172,283.940257,354.332543,441.731449,495.965137,558.487253,658.346338,695.326677,155.492850,181.141479,227.735307,295.917695,389.520731,470.722659,520.572222,579.424977,642.394565,710.719055,269.844763,283.174389,288.794800,358.419040,393.445841,511.150551,543.141052,630.965581,698.155800,782.698605,296.726667,344.963522,402.403955,432.506116,492.363902,532.575505,607.789056,664.975122,742.926048,786.180761,414.019644,439.914713,455.635474,508.081370,507.732109,578.259391,665.171502,705.309751,762.486357,854.178464,463.561934,477.719405,525.517535,529.900418,602.050230,632.213718,683.007167,738.742316,817.347468,867.274012,527.127753,564.876702,605.381499,630.105553,642.423986,688.783582,747.651720,807.601973,879.953807,932.455273,612.359686,642.156078,663.566769,666.992205,750.395239,792.478315,807.936225,866.881993,922.892104,989.203524,702.748070,727.727286,745.144634,783.001667,777.123024,822.329521,885.781067,929.720982,983.917106,1033.627283
1,114.921865,0.000000,67.401198,123.972993,213.048401,297.733277,355.530577,441.557370,486.061205,568.637303,139.863198,66.543828,95.658638,178.291904,244.970696,330.183061,382.604786,444.335842,544.356246,580.943033,162.894965,146.171840,155.404421,204.824997,291.876214,364.981674,410.495290,468.418096,530.710030,598.494905,276.187796,244.808675,232.730514,286.012512,304.156023,414.535940,442.815529,526.286997,589.226514,672.969373,298.600014,309.016342,347.067975,360.977434,410.580215,441.538269,511.569994,561.957775,638.754312,681.555232,408.177262,410.805095,407.713480,447.757764,436.484458,498.457232,575.546122,612.956613,664.284030,752.281813,463.071506,453.945109,488.690392,472.680738,536.190146,559.231324,601.666484,649.068981,723.080753,770.494252,524.612452,538.087626,567.610091,578.889779,579.595536,619.262799,670.287164,723.111051,790.113777,839.067974,599.718858,621.257557,632.382760,622.952294,693.300767,726.372878,736.243860,786.280403,835.380250,900.992694,697.492169,708.809370,715.129771,737.157397,721.176929,760.099276,819.292900,852.658509,905.001073,948.654412
2,180.388443,67.401198,0.000000,56.573083,151.402043,232.665861,291.223720,377.304155,422.243600,504.551414,185.294288,69.131238,62.182096,113.351401,177.835504,262.799502,315.734366,378.107604,477.960298,515.002309,183.982846,145.052022,121.962821,149.636788,229.720918,298.609331,343.123723,401.021073,463.370303,531.255245,281.899870,225.354854,202.048692,240.288322,246.746628,351.746143,378.230506,459.951174,521.928154,605.589826,300.018073,286.359602,310.087341,313.270686,355.733762,381.312313,448.469092,496.088226,572.443525,615.085511,399.437408,387.915666,373.368846,404.896612,387.350458,443.661803,515.188235,551.189149,599.952611,686.548519,455.717148,432.967111,459.019411,431.184888,488.723755,507.559945,545.254031,588.385844,660.192389,706.526350,514.502576,513.359118,535.910330,539.233507,533.336955,568.944588,615.499751,664.575224,728.950688,776.322551,582.210373,598.583327,603.572791,586.854124,649.154868,677.118925,684.008848,729.376031,775.134748,840.304725,682.900988,686.152536,686.020612,698.884989,677.441962,712.698553,769.332414,797.240175,848.534088,889.295767
3,236.252520,123.972993,56.573083,0.000000,104.900722,179.191700,238.363789,324.166957,369.460044,451.319149,232.094024,110.218583,80.680245,63.286509,121.795091,206.236224,259.734709,322.774601,422.371857,459.857105,217.186505,167.112224,119.265219,114.408552,180.771066,243.461889,286.609207,344.448263,406.840280,474.813208,299.069213,224.392890,191.934503,211.548303,203.717269,300.830804,325.094542,404.658417,465.501076,549.056891,313.120861,279.252584,288.190163,279.999723,313.868900,333.180671,396.821399,441.291968,517.114465,559.568169,401.313640,377.538156,352.489748,374.994717,351.241894,401.003759,466.291258,500.711327,546.708468,631.779547,457.702799,423.430222,441.079014,402.270772,453.220238,467.674458,500.335651,538.946698,608.367856,653.554694,513.263977,499.233111,515.127489,510.918629,498.668228,530.036611,571.939916,617.132544,678.772087,724.516351,573.762840,585.401404,584.812028,561.502509,615.791435,638.732607,642.712772,683.399121,725.799882,790.457048,676.135396,672.288148,666.377382,670.772482,644.322794,675.944067,729.946860,752.561542,802.753254,840.680280
4,327.895909,213.048401,151.402043,104.900722,0.000000,89.430617,143.867711,229.347455,273.351956,356.026853,335.222727,214.186262,185.193888,113.450433,100.973192,145.418442,182.058064,237.428031,337.217921,371.682326,321.815680,269.800714,213.014627,173.636337,187.576401,206.116452,225.983019,276.415249,333.874438,398.257003,397.001106,311.260299,272.182223,264.417405,226.094093,284.224030,295.432861,356.361207,401.506994,480.641846,408.201639,357.232123,345.930319,317.618051,328.089648,325.852545,371.311995,395.862496,465.639642,505.689622,485.067649,447.770164,408.471037,413.796699,377.845949,408.043299,450.011343,476.990551,508.581962,582.803586,540.539761,493.449698,498.566009,441.862113,476.797333,479.850383,496.906596,518.536677,576.294302,615.091044,591.695530,561.075644,566.088753,548.204896,522.753397,542.939585,570.882212,602.537568,652.787973,690.858795,642.290053,647.048269,637.747968,603.314993,640.103141,650.610228,646.773948,672.670198,702.532558,764.419146,745.631602,731.679880,716.550318,705.262923,668.660643,691.257262,737.782658,745.008175,791.096537,818.845087
5,412.454556,297.733277,232.665861,179.191700,89.430617,0.000000,59.376075,144.975758,190.302536,272.159543,410.244886,288.320830,253.093540,157.192469,98.283619,73.900509,93.820376,148.238548,248.256613,283.613776,386.357609,329.425257,263.491831,201.727556,169.361059,144.551394,144.605071,189.723668,245.204096,308.926158,443.823760,346.849778,303.619435,271.655591,212.934247,230.613986,230.937435,277.198343,314.767343,392.331587,450.262220,380.600890,350.166079,306.070904,295.770073,276.268148,305.817948,317.339631,383.096677,421.768587,510.045255,458.979169,407.413065,396.901635,352.438813,365.001502,388.118428,409.474991,432.027391,500.311468,563.037401,502.871755,495.289588,424.341819,444.217232,437.982450,442.726990,452.251343,502.141484,537.178110,607.889624,560.246716,554.650553,524.943403,489.078663,499.770265,516.646208,538.518312,581.192397,614.753636,646.547522,644.124922,626.521290,582.638272,603.793788,604.372014,594.819367,610.174296,632.005582,691.820138,749.268899,725.068071,701.306727,676.240086,631.845329,646.965733,687.247240,683.745757,726.762409,748.211730
6,470.418990,355.530577,291.223720,238.363789,143.867711,59.376075,0.000000,86.092632,131.128344,213.329219,469.615388,347.678103,312.392899,215.117682,150.956532,90.406673,64.987807,97.647063,195.191676,228.195255,445.133552,387.728750,320.766648,255.353751,207.808804,154.856087,127.225666,155.852710,202.517395,261.352053,498.975138,399.675219,355.816921,316.054996,250.708316,240.003115,229.608232,254.777839,277.002769,349.166438,504.076103,428.954372,391.206470,340.538827,318.190080,286.587825,299.782525,294.658880,352.714401,388.457958,557.652082,501.375239,444.808726,425.970799,377.447482,377.337927,383.386391,398.436320,409.798856,468.662388,609.263678,543.956201,530.225785,452.484066,462.343316,449.489282,444.045232,441.749374,482.035785,511.904576,651.129151,595.720456,584.408855,547.943699,505.659134,509.190376,516.699547,529.122596,563.276660,591.186207,683.880217,677.750831,655.681221,606.567489,616.995460,610.032989,595.876588,601.512576,614.853612,671.917682,785.637287,756.093537,727.493668,693.840257,644.392202,653.737056,688.628062,675.637117,715.377295,730.168287
7,556.462323,441.557370,377.304155,324.166957,229.347455,144.975758,86.092632,0.000000,45.613779,127.251107,554.837957,433.049615,396.952922,297.322055,228.920607,149.632703,90.998795,49.085761,118.656434,146.133696,527.993083,469.703661,401.227863,331.522499,268.874148,191.556851,135.065632,126.465913,147.355469,192.606918,575.117939,472.961952,428.687839,379.571177,308.628506,264.106465,240.294465,230.833207,225.188015,285.173553,578.089811,495.671124,448.693515,390.838101,353.909624,308.180113,297.469343,267.113153,309.599473,339.356413,622.052772,558.930029,496.374782,466.718218,414.176051,396.908419,378.429575,383.519260,377.432221,420.124283,671.251651,599.160935,576.998226,491.336926,487.173431,465.424453,445.644833,426.106273,450.832443,472.212685,708.432026,642.392544,623.147835,577.748929,527.288689,520.612243,514.487608,512.805488,533.642473,552.673956,732.334545,720.915254,692.678766,636.751720,631.749752,614.072499,593.505808,584.871582,585.493967,637.724486,831.911765,794.801864,759.470507,713.842496,657.795982,658.697241,685.307436,658.682610,693.137238,698.037218
8,600.982818,486.061205,422.243600,369.460044,273.351956,190.302536,131.128344,45.613779,0.000000,82.694687,600.359441,478.527943,442.548734,342.868959,274.090531,192.769695,132.013881,74.262172,93.619717,110.950938,573.543768,515.170245,446.514933,376.138980,310.322334,227.906619,165.667652,140.965077,141.217529,170.910112,619.391936,516.644367,472.350604,420.859862,348.807461,293.691330,265.282470,239.317669,215.984746,264.420564,621.815548,537.464506,487.747076,427.858488,386.098676,335.657251,314.605935,271.913696,303.351135,328.370133,662.817436,597.544175,533.138990,499.645263,446.021135,421.937137,392.333770,392.163900,376.327253,408.099341,711.103771,636.806947,611.588659,523.340397,513.423377,487.974121,461.709295,433.620465,449.207404,465.175841,746.543462,676.675920,654.335074,605.441721,551.787416,540.519808,527.840852,518.816805,531.962106,545.527236,767.028164,753.527105,722.843969,664.270124,652.357793,629.663704,606.055616,590.012136,583.500838,632.507350,865.483164,825.337912,787.234451,736.433391,677.610367,674.440260,696.736409,663.095985,694.421749,693.652330
9,683.557394,568.637303,504.551414,451.319149,356.026853,272.159543,213.329219,127.251107,82.694687,0.000000,681.496289,559.882860,523.211284,422.191388,351.835169,266.522669,204.441897,139.004830,78.414100,58.676481,652.583677,593.646945,524.157633,451.580101,378.749523,289.039642,221.749859,177.888128,145.355953,137.624857,693.012794,588.826777,544.654686,487.767704,414.132035,341.020187,306.094029,254.236723,201.495543,223.065973,693.796168,604.771964,549.271303,485.842198,435.553045,377.916045,339.675359,277.885188,287.265665,302.154788,727.131654,657.343760,589.507563,548.715496,493.764696,457.535423,408.730651,399.139328,366.256194,376.980413,773.109137,694.286443,662.872845,570.333902,549.600598,517.703288,480.131573,437.287846,435.892334,441.636607,804.490109,726.870316,698.453332,643.197228,584.129516,564.482469,539.981939,517.762110,516.713656,520.178647,817.553513,799.830359,764.421165,701.118424,676.159326,644.381524,615.480064,586.139884,566.814516,609.340615,913.207542,867.033858,823.632881,763.188945,699.653958,688.914120,702.990696,656.909016,682.206540,671.262880
