node_id,role,direct_mesh,intra_cluster,downward_tree,upward_tree,multihop_routes,route_failures,total_routes,neighbors_1hop,neighbors_multihop,cluster_size
0,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
1,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
2,UNREGISTERED,0,0,0,0,0,0,0,2,0,0
3,UNREGISTERED,0,0,0,0,0,0,0,1,0,0
4,UNREGISTERED,0,0,0,0,0,0,0,1,0,0
5,UNREGISTERED,0,0,0,0,0,0,0,1,0,0
6,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
7,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
8,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
9,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
10,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
11,UNREGISTERED,0,0,0,0,0,0,0,2,0,0
12,REGISTERED,0,0,0,0,0,0,0,4,0,0
13,REGISTERED,0,0,0,0,0,0,0,2,0,0
14,REGISTERED,0,0,0,0,0,0,0,2,0,0
15,UNREGISTERED,0,0,0,0,0,0,0,2,0,0
16,UNREGISTERED,0,0,0,0,0,0,0,1,0,0
17,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
18,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
19,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
20,REGISTERED,0,0,0,0,0,0,0,3,0,0
21,REGISTERED,0,0,0,0,0,0,0,4,0,0
22,ROUTER,0,0,1,2,0,0,3,4,0,1
23,CLUSTER_HEAD,1,0,1,2,0,0,4,5,0,3
24,ROUTER,0,0,2,3,0,0,5,5,0,1
25,REGISTERED,0,0,0,0,0,0,0,3,0,0
26,UNREGISTERED,0,0,0,0,0,0,0,1,0,0
27,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
28,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
29,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
30,REGISTERED,0,0,0,0,0,0,0,3,0,0
31,ROUTER,0,0,0,1,0,0,1,7,0,1
32,CLUSTER_HEAD,1,0,0,1,0,0,2,3,0,1
33,REGISTERED,0,0,0,0,0,0,0,5,0,0
34,CLUSTER_HEAD,1,0,2,3,0,0,6,5,0,3
35,REGISTERED,0,0,0,0,0,0,0,2,0,0
36,UNREGISTERED,0,0,0,0,0,0,0,2,0,0
37,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
38,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
39,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
40,CLUSTER_HEAD,0,0,0,0,0,0,0,3,0,1
41,REGISTERED,0,0,0,0,0,0,0,5,0,0
42,REGISTERED,0,0,0,0,0,0,0,6,0,0
43,CLUSTER_HEAD,1,0,3,4,0,0,8,6,0,2
44,ROUTER,0,0,3,4,0,0,7,5,0,0
45,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
46,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
47,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
48,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
49,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
50,UNREGISTERED,0,0,0,0,0,0,0,1,0,0
51,REGISTERED,0,0,0,0,0,0,0,4,0,0
52,ROUTER,0,0,4,5,0,0,9,7,0,2
53,REGISTERED,0,0,0,0,0,0,0,5,0,0
54,REGISTERED,0,0,0,0,0,0,0,4,0,0
55,UNREGISTERED,0,0,0,0,0,0,0,1,0,0
56,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
57,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
58,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
59,UNDISCOVERED,0,0,0,0,0,0,0,0,0,0
60,UNREGISTERED,0,0,0,0,0,0,0,2,0,0
